item_name,main_category,sub_category,unit_buying_price,unit_selling_price,unit_price_margin,quantity,revenue,profit
Sun Dried Tomato 100G,Pantry Staples,Condiments,0.0,2.0,2.0,19.0,38.0,38.0
Sundowner Apples,Fresh Produce,Apples,0.0,3.5,3.5,461.63800000000003,1615.7330000000002,1615.7330000000002
Sunflower Kernels 500G,Snacks,Dry Fruits And Nuts,2.579999999999999,4.989999999999999,2.4099999999999993,21.0,104.78999999999999,50.60999999999999
Sunflower Oil 2Lt,Pantry Staples,Oil,4.8,6.5,1.7000000000000006,29.0,188.5,49.30000000000002
Sunflower Oil 5Lt,Pantry Staples,Oil,9.0,12.5,3.5,93.0,1162.5,325.5
Sunflower Seeds 300G,Snacks,Dry Fruits And Nuts,3.18,4.99,1.81,4.0,19.96,7.24
Suntina Mandarine,Fresh Produce,Citrus Fruits,0.0,4.9900000000000055,4.9900000000000055,49.19399999999999,245.47806,245.47806
Super Chef 5Kg,Pantry Staples,Rice,9.0,11.990000000000007,2.9900000000000007,59.0,707.4100000000004,176.40999999999997
Supiri Keeri Samba 5Kg Cic,Pantry Staples,Rice,11.5,14.5,3.0,3.0,43.5,9.0
Suwadel Rice 1Kg,Pantry Staples,Rice,3.5499999999999994,4.6899999999999995,1.1400000000000001,12.0,56.279999999999994,13.680000000000001
Swedes Turnips,Fresh Produce,Root Vegies,3.5,5.0,1.5,111.94500000000004,559.725,167.91750000000016
Sweet Corn,Fresh Produce,Other Vegies,0.0,1.2000000000000268,1.2000000000000268,2404.0,2884.7999999999956,2884.7999999999956
Sweet Potatoes Purple,Fresh Produce,Potatoes,2.5,2.989999999999867,0.4900000000000075,1451.9279999999972,4341.264720000001,711.44472
Sweet Rusk,Breads & Bakery,Toast,5.0,6.0,1.0,262.0,1572.0,262.0
Sweet Tooth Mango,Fresh Produce,Fruits,0.0,3.5,3.5,10.0,35.0,35.0
Sweetloaf,Breads & Bakery,Sweet Bread,3.75,4.799999999999969,1.0500000000000071,418.0,2006.3999999999876,438.9000000000029
Swiss Roll Vanila,Pantry Staples,Sweet,1.7700000000000005,2.2272727269999995,0.45727272699999993,26.0,57.90909090199998,11.889090902
Swissroll Chocolate,Snacks,Packaged Snacks,1.7699999999999996,2.449999999999998,0.6799999999999998,82.0,200.89999999999984,55.759999999999984
Tamarind 100G,Pantry Staples,Spices,0.75,2.5,1.75,37.0,92.5,64.75
Tamarind 200G,Pantry Staples,Spices,1.5,2.5,1.0,17.0,42.5,17.0
Tamarind 200G Derana,Pantry Staples,Condiments,1.6999999999999997,2.99,1.29,8.0,23.92,10.32
Tamarind 400G,Pantry Staples,Spices,3.3000000000000003,4.990000000000001,1.6899999999999997,8.0,39.92000000000001,13.519999999999998
Tamarind Drink,Beverages,Fruit Juice,0.6,1.5,0.9000000000000001,11.0,16.5,9.900000000000002
Tamarind Seedless 500G,Pantry Staples,Spices,6.0,7.489999999999999,1.49,12.0,89.88,17.88
Tandoori Masala,Pantry Staples,Spices,0.0,3.0,3.0,8.0,24.0,24.0
Tangelos,Fresh Produce,Citrus Fruits,1.0,1.9900000000000064,0.9900000000000042,248.58800000000014,494.6901199999999,246.10211999999981
Taro,Fresh Produce,Potatoes,5.0,9.990000000000007,4.990000000000006,80.94399999999999,808.6305599999998,403.9105600000001
Taylor Lee,Fresh Produce,Citrus Fruits,0.0,1.990000000000001,1.990000000000001,107.20400000000002,213.33595999999994,213.33595999999994
Tea Coconut Cream,Beverages,Tea,1.5,2.1999999999999993,0.7000000000000007,75.0,165.0,52.50000000000004
Tea Coconut Milk,Pantry Staples,Cocunut Products,1.5,2.1999999999999975,0.7000000000000012,90.0,197.99999999999977,63.00000000000009
Tea Dried Keerameen 250G,Beverages,Tea,5.5,6.989999999999998,1.4899999999999995,17.0,118.82999999999997,25.32999999999999
Tea Dried Sprats 250G,Pantry Staples,Sardines,5.25,6.990000000000005,1.7399999999999987,58.0,405.4200000000003,100.91999999999996
Tea Jack Madulu In Brine,Pantry Staples,Condiments,3.0,3.9900000000000007,0.9900000000000001,8.0,31.92,7.92
Tea Jack Mellum In Brine,Pantry Staples,Pickle,3.0,3.990000000000001,0.9900000000000001,8.0,31.92000000000001,7.92
Tea Toor Dhal 1Kg,Pantry Staples,Grains And Pulses,1.790000000000002,2.9900000000000033,1.2000000000000017,78.0,233.22000000000025,93.60000000000012
Thai Eggplant,Fresh Produce,Asian Vegies,4.5,4.990000000000008,0.49000000000000055,137.92600000000004,688.2507400000005,67.58374000000002
Thai Green Chilli,Fresh Produce,Chillies,0.0,25.0,25.0,50.21700000000003,1255.4250000000002,1255.4250000000002
Thala Aluwa 400G,Snacks,Biscuits,4.099999999999998,5.990000000000002,1.8900000000000003,35.0,209.6500000000001,66.15
Thalaguli 250G Serendib,Snacks,Biscuits,2.75,3.6499999999999995,0.9000000000000001,8.0,29.199999999999996,7.200000000000001
Thalapath 150G Richmi,Pantry Staples,Dried Fish,5.599999999999999,7.5,1.8999999999999995,17.0,127.5,32.29999999999999
Thalapath Dried Araliya,Fresh Produce,Asian Vegies,5.35,6.99,1.64,1.0,6.99,1.64
Thora Dried Derana,Pantry Staples,Dried Fish,0.0,6.3999999999999995,6.3999999999999995,11.0,70.39999999999999,70.39999999999999
Thyme Garden,Fresh Produce,Herbs,0.0,3.5,3.5,20.0,70.0,70.0
Thyme Honey,Pantry Staples,Condiments,11.0,13.99,2.99,5.0,69.95,14.950000000000001
Tiger Brand Basmathi5Kg,Pantry Staples,Rice,8.5,11.0,2.5,11.0,121.0,27.5
Toast,Breads & Bakery,Toast,1.1999999999999997,2.990000000000001,1.7899999999999996,21.0,62.79000000000003,37.58999999999999
Tomato & Basil Sauce,Pantry Staples,Sauce,0.0,2.990000000000001,2.990000000000001,13.0,38.87000000000001,38.87000000000001
Tomato Field,Fresh Produce,Tomatoes,1.5,2.0,0.5,30.214,60.428,15.107
Tomato Mini Roma 250G,Fresh Produce,Tomatoes,2.5,2.9899999999999913,0.4900000000000051,813.0,2430.869999999984,398.37000000000387
Tomato Sweet Cherry Vine,Fresh Produce,Tomatoes,0.0,2.5,2.5,3.0,7.5,7.5
"Tomato,Onion & Garlic ",Fresh Produce,Cut Veggies,0.0,2.9899999999999998,2.9899999999999998,30.0,89.69999999999997,89.69999999999997
Tomatoes Cherry,Fresh Produce,Tomatoes,0.0,3.0,3.0,1424.0,4272.0,4272.0
Tomatoes Grape,Fresh Produce,Tomatoes,0.0,2.990000000000006,2.990000000000006,163.0,487.37000000000074,487.37000000000074
Tomatoes Hydroponic,Fresh Produce,Tomatoes,0.0,5.990000000000004,5.990000000000004,19.452,116.51747999999999,116.51747999999999
Tomatoes Roma,Fresh Produce,Tomatoes,0.0,4.989999999999812,4.989999999999812,1703.7459999999955,8501.692539999995,8501.692539999995
Tomatoes Truss,Fresh Produce,Tomatoes,0.0,5.9899999999998865,5.9899999999998865,1717.3099999999993,10286.686899999988,10286.686899999988
Toor Dhall 5Kg,Pantry Staples,Grains And Pulses,11.75,12.0,0.25,12.0,144.0,3.0
Tpp Mango,Fresh Produce,Tropical Fruits,0.0,3.5,3.5,33.0,115.5,115.5
Trahana Sweet 500G,Pantry Staples,Pasta,2.7999999999999985,3.989999999999999,1.1900000000000002,33.0,131.67,39.27000000000001
Trahanas Sour 500G,Pantry Staples,Pasta,2.800000000000001,3.9900000000000033,1.189999999999999,58.0,231.4200000000002,69.01999999999994
Trivelle No.17,Pantry Staples,Pasta,0.7900000000000013,1.200000000000001,0.409999999999999,126.0,151.20000000000005,51.6599999999999
Tropicana,Beverages,Fruit Juice,5.39,6.354545455,0.9645454549999999,7.0,44.481818185,6.751818184999999
Tsoureki Large,Breads & Bakery,Packaged,7.5,9.990000000000002,2.490000000000001,33.0,329.66999999999996,82.17000000000002
Tsoureki Small 450G,Breads & Bakery,Packaged,6.0,7.990000000000003,1.9900000000000004,45.0,359.5500000000002,89.55000000000001
Turkish White Coarse Burgul 500G,Pantry Staples,Pulses And Grains,1.200000000000001,1.9899999999999984,0.7899999999999995,61.0,121.3899999999999,48.189999999999976
Turkish White Fine Burgul 500G,Pantry Staples,Pulses And Grains,1.200000000000001,1.9899999999999984,0.7899999999999995,56.0,111.4399999999999,44.239999999999974
Turmeric,Fresh Produce,Root Vegies,45.0,25.0,-20.0,2.2900000000000005,57.25,-45.79999999999999
Turmeric Powder 100G,Pantry Staples,Spices,1.799999999999999,2.5,0.700000000000001,80.0,200.0,56.00000000000008
Turmeric Powder100G,Pantry Staples,Spices,0.0,1.7999999999999992,1.7999999999999992,29.0,52.199999999999974,52.199999999999974
Turnips,Fresh Produce,Root Vegies,0.0,2.990000000000008,2.990000000000008,163.8679999999999,489.96531999999956,489.96531999999956
Tuscan Kale,Fresh Produce,Bunch Vegies,2.5,2.9900000000000073,0.489999999999998,257.0,768.4300000000019,125.92999999999954
U/R Chilli Powder Rabee,Pantry Staples,Spices,2.75,3.5,0.75,16.0,56.0,12.0
Urid Flour 200 Wijaya,Pantry Staples,Flour,1.9000000000000001,2.99,1.09,7.0,20.93,7.630000000000001
Urid Whole White 1Kg,Pantry Staples,Grains And Pulses,4.07,4.99,0.92,20.0,99.79999999999998,18.400000000000006
V/ R Coconut Sambol 300G,Pantry Staples,Sauces,3.700000000000002,5.5,1.7999999999999992,28.0,154.0,50.39999999999998
Vanila Powder 15G,Pantry Staples,Sugar,0.7999999999999983,1.9900000000000024,1.1899999999999984,130.0,258.7000000000003,154.6999999999998
Vanila Twists 250G,Pantry Staples,Sugar,3.300000000000008,4.536363636,1.2363636359999954,174.0,789.3272726640001,215.1272726639994
Vasilopita 650G,Breads & Bakery,Cake,10.0,13.0,3.0,18.0,234.0,54.0
Vegetable Oil 2Lt,Pantry Staples,Oil,4.5,6.5,2.0,23.0,149.5,46.0
Vegetable Oil 5Lt,Pantry Staples,Oil,8.5,12.0,3.5,5.0,60.0,17.5
Vindaloo Masala 50G,Pantry Staples,Spices,0.0,2.5,2.5,8.0,20.0,20.0
Vinegar 350Ml,Pantry Staples,Vinegar,2.8500000000000005,1.99,-0.8600000000000001,9.0,17.91,-7.740000000000001
Virgin Coconut Oil 300Ml,Pantry Staples,Oil,3.95,5.5,1.55,4.0,22.0,6.2
Virgin Coconut Oil Organic Frank,Pantry Staples,Oil,4.0799999999999965,4.9900000000000055,0.9099999999999978,113.0,563.8700000000007,102.82999999999976
